idel/idop , 
1 , 0
2 , 0
3 , 0
4 , 0
5 , 0
6 , 0
7 , 0
8 , 0
9 , 0
10 , 0
11 , 0
12 , 0
13 , 0
14 , 0
15 , 0
16 , 0
17 , 0
18 , 0
19 , 0
20 , 0
21 , 0
22 , 0
23 , 0
24 , 0
25 , 0
26 , 0
27 , 0
28 , 0
29 , 0
30 , 0
31 , 0
32 , 0
33 , 0
34 , 4.52004e-05
35 , 0.0071541
36 , 0.183489
37 , 20.7492
38 , 130.796
39 , 321.401
40 , 573.466
41 , 867.708
42 , 1188.13
43 , 1522.53
44 , 1844.67
45 , 2159.25
46 , 2449.58
47 , 2703.06
48 , 2917.21
49 , 3083.86
50 , 3193.72
51 , 3255.02
52 , 3262.56
53 , 3206.83
54 , 3102.97
55 , 2941.82
56 , 2732.39
57 , 2480.43
58 , 2193.21
59 , 1877.43
60 , 1546.25
61 , 1207.12
62 , 882.975
63 , 584.165
64 , 326.989
65 , 132.39
66 , 21.0062
67 , 0.187264
68 , 0.00724816
69 , 4.69961e-05
70 , 0
71 , 0
72 , 0
73 , 0
74 , 0
75 , 0
76 , 0
77 , 0
78 , 0
79 , 0
80 , 0
81 , 0
82 , 0
83 , 0
84 , 0
85 , 0
86 , 0
87 , 0
88 , 0
89 , 0
90 , 0
91 , 0
92 , 0
93 , 0
94 , 0
95 , 0
96 , 0
97 , 0
98 , 0
99 , 0
100 , 0
