idel/idop , 
1 , 0
2 , -0
3 , 0
4 , -0
5 , 0
6 , 0
7 , -0
8 , -0
9 , -0
10 , -0
11 , 0
12 , 0
13 , 0
14 , 0
15 , 0
16 , 0
17 , 0
18 , -0
19 , -0
20 , 0
21 , 0
22 , -0
23 , 0
24 , 0
25 , -0
26 , -0
27 , 0
28 , 0
29 , 0
30 , 0
31 , -0
32 , -0
33 , 0
34 , 0.0142203
35 , 0.0996367
36 , 2.19924
37 , 37.4818
38 , 111.946
39 , 222.618
40 , 384.656
41 , 584.038
42 , 790.718
43 , 1151.03
44 , 1500.31
45 , 1332.37
46 , 1187.64
47 , 2063.61
48 , 2581.48
49 , 2525.32
50 , 2649.14
51 , 2827.96
52 , 2852.24
53 , 3088.89
54 , 2615.23
55 , 2098.75
56 , 1619.21
57 , 1260.3
58 , 1006
59 , 955.316
60 , 736.116
61 , 573.405
62 , 424.214
63 , 291.981
64 , 186.939
65 , 103.724
66 , 22.9083
67 , 0.797559
68 , 0.0394031
69 , 0.0126067
70 , 0
71 , -0
72 , -0
73 , -0
74 , -0
75 , 0
76 , -0
77 , 0
78 , -0
79 , 0
80 , 0
81 , -0
82 , 0
83 , -0
84 , 0
85 , -0
86 , -0
87 , 0
88 , 0
89 , -0
90 , -0
91 , 0
92 , 0
93 , -0
94 , -0
95 , 0
96 , -0
97 , 0
98 , -0
99 , 0
100 , 0
