idop , 
1 , -1.68969
2 , 4.16223
3 , 1.92087
4 , 1.91092
5 , -1.45628
6 , -1.20119
7 , -0.32491
8 , 3.101
9 , -1.71218
10 , 2.08128
11 , -0.0115177
12 , 1.38052
13 , 4.18876
14 , 4.60845
15 , -1.45977
16 , 0.18368
17 , -0.801433
18 , -0.158872
19 , -0.865458
20 , 0.16275
21 , 1.73865
22 , 0.828227
23 , 0.702813
24 , -1.29859
25 , -1.10847
26 , 1.12419
27 , 0.26092
28 , -0.731821
29 , 3.77053
30 , 0.137776
31 , -2.54424
32 , 0.668314
33 , -2.9091
34 , -0.135267
35 , 2.93188
36 , 9.49576
37 , 18.5673
38 , 22.387
39 , 27.0143
40 , 31.0111
41 , 39.2689
42 , 47.0911
43 , 49.4517
44 , 56.2205
45 , 51.0279
46 , 56.6709
47 , 67.5316
48 , 69.9178
49 , 97.3255
50 , 121.44
51 , 126.5
52 , 127.977
53 , 127.347
54 , 115.281
55 , 91.9941
56 , 82.3324
57 , 55.1985
58 , 42.7363
59 , 46.4431
60 , 46.924
61 , 41.9752
62 , 26.3443
63 , 18.6483
64 , 16.2756
65 , 7.5659
66 , 7.78983
67 , 3.35261
68 , 0.00869248
69 , 1.37528
70 , -3.01718
71 , -3.51493
72 , 2.10852
73 , -1.96353
74 , 2.22886
75 , -0.260801
76 , 0.564604
77 , -1.99891
78 , 0.720771
79 , -0.312512
80 , 0.107926
81 , -0.846477
82 , 3.70095
83 , -0.99869
84 , 0.825796
85 , 1.17272
86 , 1.16897
87 , 0.516667
88 , -0.983851
89 , 3.9968
90 , -3.38841
91 , 2.06298
92 , 0.484824
93 , 0.428279
94 , 0.801948
95 , 1.91757
96 , -1.19804
97 , -3.54946
98 , 2.3994
99 , 2.25521
100 , -2.19167
