idel , 
1 , 0.318905
2 , 0.318905
3 , 0.318905
4 , 0.318905
5 , 0.318905
6 , 0.318905
7 , 0.318905
8 , 0.318905
9 , 0.318905
10 , 0.318905
11 , 0.318905
12 , 0.318905
13 , 0.318905
14 , 0.318905
15 , 0.318905
16 , 0.318905
17 , 0.318905
18 , 0.318905
19 , 0.318905
20 , 0.318905
21 , 0.318905
22 , 0.318905
23 , 0.318905
24 , 0.318905
25 , 0.318905
26 , 0.318905
27 , 0.318905
28 , 0.318905
29 , 0.318905
30 , 0.318905
31 , 0.318905
32 , 0.318905
33 , 0.318905
34 , 0.318905
35 , 0.318905
36 , 0.318905
37 , 0.318905
38 , 0.318905
39 , 0.318905
40 , 0.318905
41 , 0.318905
42 , 0.318905
43 , 0.318905
44 , 0.318905
45 , 0.318905
46 , 0.318905
47 , 0.318905
48 , 0.318905
49 , 0.318905
50 , 0.318905
51 , 0.318905
52 , 0.318905
53 , 0.318905
54 , 0.318905
55 , 0.318905
56 , 0.318905
57 , 0.318905
58 , 0.318905
59 , 0.318905
60 , 0.318905
61 , 0.318905
62 , 0.318905
63 , 0.318905
64 , 0.318905
65 , 0.318905
66 , 0.318905
67 , 0.318905
68 , 0.318905
69 , 0.318905
70 , 0.318905
71 , 0.318905
72 , 0.318905
73 , 0.318905
74 , 0.318905
75 , 0.318905
76 , 0.318905
77 , 0.318905
78 , 0.318905
79 , 0.318905
80 , 0.318905
81 , 0.318905
82 , 0.318905
83 , 0.318905
84 , 0.318905
85 , 0.318905
86 , 0.318905
87 , 0.318905
88 , 0.318905
89 , 0.318905
90 , 0.318905
91 , 0.318905
92 , 0.318905
93 , 0.318905
94 , 0.318905
95 , 0.318905
96 , 0.318905
97 , 0.318905
98 , 0.318905
99 , 0.318905
100 , 0.318905
