idop , 
1 , 0.233152
2 , 0.233152
3 , 0.233152
4 , 0.233152
5 , 0.233152
6 , 0.233152
7 , 0.233152
8 , 0.233152
9 , 0.233152
10 , 0.233152
11 , 0.233152
12 , 0.233152
13 , 0.233152
14 , 0.233152
15 , 0.233152
16 , 0.233152
17 , 0.233152
18 , 0.233152
19 , 0.233152
20 , 0.233152
21 , 0.233152
22 , 0.233152
23 , 0.233152
24 , 0.233152
25 , 0.233152
26 , 0.233152
27 , 0.233152
28 , 0.233152
29 , 0.233152
30 , 0.233152
31 , 0.233152
32 , 0.233152
33 , 0.233152
34 , 0.233152
35 , 0.233152
36 , 0.233152
37 , 0.233152
38 , 0.233152
39 , 0.233152
40 , 0.233152
41 , 0.233152
42 , 0.233152
43 , 0.233152
44 , 0.233152
45 , 0.233152
46 , 0.233152
47 , 0.233152
48 , 0.233152
49 , 0.233152
50 , 0.233152
51 , 0.233152
52 , 0.233152
53 , 0.233152
54 , 0.233152
55 , 0.233152
56 , 0.233152
57 , 0.233152
58 , 0.233152
59 , 0.233152
60 , 0.233152
61 , 0.233152
62 , 0.233152
63 , 0.233152
64 , 0.233152
65 , 0.233152
66 , 0.233152
67 , 0.233152
68 , 0.233152
69 , 0.233152
70 , 0.233152
71 , 0.233152
72 , 0.233152
73 , 0.233152
74 , 0.233152
75 , 0.233152
76 , 0.233152
77 , 0.233152
78 , 0.233152
79 , 0.233152
80 , 0.233152
81 , 0.233152
82 , 0.233152
83 , 0.233152
84 , 0.233152
85 , 0.233152
86 , 0.233152
87 , 0.233152
88 , 0.233152
89 , 0.233152
90 , 0.233152
91 , 0.233152
92 , 0.233152
93 , 0.233152
94 , 0.233152
95 , 0.233152
96 , 0.233152
97 , 0.233152
98 , 0.233152
99 , 0.233152
100 , 0.233152
