i/j , -75 , -74 , -73 , -72 , -71 , -70 , -69 , -68 , -67 , -66 , -65 , -64 , -63 , -62 , -61 , -60 , -59 , -58 , -57 , -56 , -55 , -54 , -53 , -52 , -51 , -50 , -49 , -48 , -47 , -46 , -45 , -44 , -43 , -42 , -41 , -40 , -39 , -38 , -37 , -36 , -35 , -34 , -33 , -32 , -31 , -30 , -29 , -28 , -27 , -26 , -25 , -24 , -23 , -22 , -21 , -20 , -19 , -18 , -17 , -16 , -15 , -14 , -13 , -12 , -11 , -10 , -9 , -8 , -7 , -6 , -5 , -4 , -3 , -2 , -1 , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 , 36 , 37 , 38 , 39 , 40 , 41 , 42 , 43 , 44 , 45 , 46 , 47 , 48 , 49 , 50 , 51 , 52 , 53 , 54 , 55 , 56 , 57 , 58 , 59 , 60 , 61 , 62 , 63 , 64 , 65 , 66 , 67 , 68 , 69 , 70 , 71 , 72 , 73 , 74 , 75 , 
-75 , 528.612110 , 523.545540 , 518.478970 , 513.412401 , 508.345831 , 503.279261 , 498.212692 , 493.146122 , 488.079552 , 483.012983 , 477.946413 , 472.879843 , 467.813274 , 462.746704 , 457.680135 , 452.613565 , 447.546995 , 442.480426 , 437.413856 , 432.347286 , 427.280717 , 422.214147 , 417.147577 , 412.081008 , 407.014438 , 401.947868 , 396.881299 , 391.814729 , 386.748159 , 381.681590 , 376.615020 , 371.548451 , 366.481881 , 361.415311 , 356.348742 , 351.282172 , 346.215602 , 341.149033 , 336.082463 , 331.015893 , 325.949324 , 320.882754 , 315.816184 , 310.749615 , 305.683045 , 300.616475 , 295.549906 , 290.483336 , 285.416767 , 280.350197 , 275.283627 , 270.217058 , 265.150488 , 260.083918 , 255.017349 , 249.950779 , 244.884209 , 239.817640 , 234.751070 , 229.684500 , 224.617931 , 219.551361 , 214.484791 , 209.418222 , 204.351652 , 199.285083 , 194.218513 , 189.151943 , 184.085374 , 179.018804 , 173.952234 , 168.885665 , 163.819095 , 158.752525 , 153.685956 , 148.619386 , 143.552816 , 138.486247 , 133.419677 , 128.353107 , 123.286538 , 118.219968 , 113.153399 , 108.086829 , 103.020259 , 97.953690 , 92.887120 , 87.820550 , 82.753981 , 77.687411 , 72.620841 , 67.554272 , 62.487702 , 57.421132 , 52.354563 , 47.287993 , 42.221423 , 37.154854 , 32.088284 , 27.021715 , 21.955145 , 16.888575 , 11.822006 , 6.755436 , 1.688866 , -3.377703 , -8.444273 , -13.510843 , -18.577412 , -23.643982 , -28.710552 , -33.777121 , -38.843691 , -43.910261 , -48.976830 , -54.043400 , -59.109969 , -64.176539 , -69.243109 , -74.309678 , -79.376248 , -84.442818 , -89.509387 , -94.575957 , -99.642527 , -104.709096 , -109.775666 , -114.842236 , -119.908805 , -124.975375 , -130.041945 , -135.108514 , -140.175084 , -145.241654 , -150.308223 , -155.374793 , -160.441362 , -165.507932 , -170.574502 , -175.641071 , -180.707641 , -185.774211 , -190.840780 , -195.907350 , -200.973920 , -206.040489 , -211.107059 , -216.173629 , -221.240198 , -226.306768 , -231.373338 , 527.982696 , 
-74 , 527.982696 , 522.916126 , 517.849556 , 512.782987 , 507.716417 , 502.649847 , 497.583278 , 492.516708 , 487.450138 , 482.383569 , 477.316999 , 472.250429 , 467.183860 , 462.117290 , 457.050720 , 451.984151 , 446.917581 , 441.851012 , 436.784442 , 431.717872 , 426.651303 , 421.584733 , 416.518163 , 411.451594 , 406.385024 , 401.318454 , 396.251885 , 391.185315 , 386.118745 , 381.052176 , 375.985606 , 370.919036 , 365.852467 , 360.785897 , 355.719328 , 350.652758 , 345.586188 , 340.519619 , 335.453049 , 330.386479 , 325.319910 , 320.253340 , 315.186770 , 310.120201 , 305.053631 , 299.987061 , 294.920492 , 289.853922 , 284.787352 , 279.720783 , 274.654213 , 269.587644 , 264.521074 , 259.454504 , 254.387935 , 249.321365 , 244.254795 , 239.188226 , 234.121656 , 229.055086 , 223.988517 , 218.921947 , 213.855377 , 208.788808 , 203.722238 , 198.655668 , 193.589099 , 188.522529 , 183.455960 , 178.389390 , 173.322820 , 168.256251 , 163.189681 , 158.123111 , 153.056542 , 147.989972 , 142.923402 , 137.856833 , 132.790263 , 127.723693 , 122.657124 , 117.590554 , 112.523984 , 107.457415 , 102.390845 , 97.324276 , 92.257706 , 87.191136 , 82.124567 , 77.057997 , 71.991427 , 66.924858 , 61.858288 , 56.791718 , 51.725149 , 46.658579 , 41.592009 , 36.525440 , 31.458870 , 26.392300 , 21.325731 , 16.259161 , 11.192591 , 6.126022 , 1.059452 , -4.007117 , -9.073687 , -14.140257 , -19.206826 , -24.273396 , -29.339966 , -34.406535 , -39.473105 , -44.539675 , -49.606244 , -54.672814 , -59.739384 , -64.805953 , -69.872523 , -74.939093 , -80.005662 , -85.072232 , -90.138801 , -95.205371 , -100.271941 , -105.338510 , -110.405080 , -115.471650 , -120.538219 , -125.604789 , -130.671359 , -135.737928 , -140.804498 , -145.871068 , -150.937637 , -156.004207 , -161.070777 , -166.137346 , -171.203916 , -176.270485 , -181.337055 , -186.403625 , -191.470194 , -196.536764 , -201.603334 , -206.669903 , -211.736473 , -216.803043 , -221.869612 , -226.936182 , -232.002752 , 527.353281 , 
-73 , 527.353281 , 522.286712 , 517.220142 , 512.153573 , 507.087003 , 502.020433 , 496.953864 , 491.887294 , 486.820724 , 481.754155 , 476.687585 , 471.621015 , 466.554446 , 461.487876 , 456.421306 , 451.354737 , 446.288167 , 441.221597 , 436.155028 , 431.088458 , 426.021889 , 420.955319 , 415.888749 , 410.822180 , 405.755610 , 400.689040 , 395.622471 , 390.555901 , 385.489331 , 380.422762 , 375.356192 , 370.289622 , 365.223053 , 360.156483 , 355.089913 , 350.023344 , 344.956774 , 339.890205 , 334.823635 , 329.757065 , 324.690496 , 319.623926 , 314.557356 , 309.490787 , 304.424217 , 299.357647 , 294.291078 , 289.224508 , 284.157938 , 279.091369 , 274.024799 , 268.958229 , 263.891660 , 258.825090 , 253.758520 , 248.691951 , 243.625381 , 238.558812 , 233.492242 , 228.425672 , 223.359103 , 218.292533 , 213.225963 , 208.159394 , 203.092824 , 198.026254 , 192.959685 , 187.893115 , 182.826545 , 177.759976 , 172.693406 , 167.626836 , 162.560267 , 157.493697 , 152.427128 , 147.360558 , 142.293988 , 137.227419 , 132.160849 , 127.094279 , 122.027710 , 116.961140 , 111.894570 , 106.828001 , 101.761431 , 96.694861 , 91.628292 , 86.561722 , 81.495152 , 76.428583 , 71.362013 , 66.295444 , 61.228874 , 56.162304 , 51.095735 , 46.029165 , 40.962595 , 35.896026 , 30.829456 , 25.762886 , 20.696317 , 15.629747 , 10.563177 , 5.496608 , 0.430038 , -4.636532 , -9.703101 , -14.769671 , -19.836240 , -24.902810 , -29.969380 , -35.035949 , -40.102519 , -45.169089 , -50.235658 , -55.302228 , -60.368798 , -65.435367 , -70.501937 , -75.568507 , -80.635076 , -85.701646 , -90.768216 , -95.834785 , -100.901355 , -105.967924 , -111.034494 , -116.101064 , -121.167633 , -126.234203 , -131.300773 , -136.367342 , -141.433912 , -146.500482 , -151.567051 , -156.633621 , -161.700191 , -166.766760 , -171.833330 , -176.899900 , -181.966469 , -187.033039 , -192.099608 , -197.166178 , -202.232748 , -207.299317 , -212.365887 , -217.432457 , -222.499026 , -227.565596 , -232.632166 , 526.723867 , 
-72 , 526.723867 , 521.657298 , 516.590728 , 511.524158 , 506.457589 , 501.391019 , 496.324449 , 491.257880 , 486.191310 , 481.124741 , 476.058171 , 470.991601 , 465.925032 , 460.858462 , 455.791892 , 450.725323 , 445.658753 , 440.592183 , 435.525614 , 430.459044 , 425.392474 , 420.325905 , 415.259335 , 410.192765 , 405.126196 , 400.059626 , 394.993057 , 389.926487 , 384.859917 , 379.793348 , 374.726778 , 369.660208 , 364.593639 , 359.527069 , 354.460499 , 349.393930 , 344.327360 , 339.260790 , 334.194221 , 329.127651 , 324.061081 , 318.994512 , 313.927942 , 308.861373 , 303.794803 , 298.728233 , 293.661664 , 288.595094 , 283.528524 , 278.461955 , 273.395385 , 268.328815 , 263.262246 , 258.195676 , 253.129106 , 248.062537 , 242.995967 , 237.929397 , 232.862828 , 227.796258 , 222.729689 , 217.663119 , 212.596549 , 207.529980 , 202.463410 , 197.396840 , 192.330271 , 187.263701 , 182.197131 , 177.130562 , 172.063992 , 166.997422 , 161.930853 , 156.864283 , 151.797713 , 146.731144 , 141.664574 , 136.598005 , 131.531435 , 126.464865 , 121.398296 , 116.331726 , 111.265156 , 106.198587 , 101.132017 , 96.065447 , 90.998878 , 85.932308 , 80.865738 , 75.799169 , 70.732599 , 65.666029 , 60.599460 , 55.532890 , 50.466321 , 45.399751 , 40.333181 , 35.266612 , 30.200042 , 25.133472 , 20.066903 , 15.000333 , 9.933763 , 4.867194 , -0.199376 , -5.265946 , -10.332515 , -15.399085 , -20.465655 , -25.532224 , -30.598794 , -35.665363 , -40.731933 , -45.798503 , -50.865072 , -55.931642 , -60.998212 , -66.064781 , -71.131351 , -76.197921 , -81.264490 , -86.331060 , -91.397630 , -96.464199 , -101.530769 , -106.597339 , -111.663908 , -116.730478 , -121.797047 , -126.863617 , -131.930187 , -136.996756 , -142.063326 , -147.129896 , -152.196465 , -157.263035 , -162.329605 , -167.396174 , -172.462744 , -177.529314 , -182.595883 , -187.662453 , -192.729023 , -197.795592 , -202.862162 , -207.928731 , -212.995301 , -218.061871 , -223.128440 , -228.195010 , -233.261580 , 526.094453 , 
-71 , 526.094453 , 521.027884 , 515.961314 , 510.894744 , 505.828175 , 500.761605 , 495.695035 , 490.628466 , 485.561896 , 480.495326 , 475.428757 , 470.362187 , 465.295618 , 460.229048 , 455.162478 , 450.095909 , 445.029339 , 439.962769 , 434.896200 , 429.829630 , 424.763060 , 419.696491 , 414.629921 , 409.563351 , 404.496782 , 399.430212 , 394.363642 , 389.297073 , 384.230503 , 379.163934 , 374.097364 , 369.030794 , 363.964225 , 358.897655 , 353.831085 , 348.764516 , 343.697946 , 338.631376 , 333.564807 , 328.498237 , 323.431667 , 318.365098 , 313.298528 , 308.231958 , 303.165389 , 298.098819 , 293.032250 , 287.965680 , 282.899110 , 277.832541 , 272.765971 , 267.699401 , 262.632832 , 257.566262 , 252.499692 , 247.433123 , 242.366553 , 237.299983 , 232.233414 , 227.166844 , 222.100274 , 217.033705 , 211.967135 , 206.900566 , 201.833996 , 196.767426 , 191.700857 , 186.634287 , 181.567717 , 176.501148 , 171.434578 , 166.368008 , 161.301439 , 156.234869 , 151.168299 , 146.101730 , 141.035160 , 135.968590 , 130.902021 , 125.835451 , 120.768882 , 115.702312 , 110.635742 , 105.569173 , 100.502603 , 95.436033 , 90.369464 , 85.302894 , 80.236324 , 75.169755 , 70.103185 , 65.036615 , 59.970046 , 54.903476 , 49.836906 , 44.770337 , 39.703767 , 34.637198 , 29.570628 , 24.504058 , 19.437489 , 14.370919 , 9.304349 , 4.237780 , -0.828790 , -5.895360 , -10.961929 , -16.028499 , -21.095069 , -26.161638 , -31.228208 , -36.294778 , -41.361347 , -46.427917 , -51.494486 , -56.561056 , -61.627626 , -66.694195 , -71.760765 , -76.827335 , -81.893904 , -86.960474 , -92.027044 , -97.093613 , -102.160183 , -107.226753 , -112.293322 , -117.359892 , -122.426462 , -127.493031 , -132.559601 , -137.626170 , -142.692740 , -147.759310 , -152.825879 , -157.892449 , -162.959019 , -168.025588 , -173.092158 , -178.158728 , -183.225297 , -188.291867 , -193.358437 , -198.425006 , -203.491576 , -208.558146 , -213.624715 , -218.691285 , -223.757854 , -228.824424 , -233.890994 , 525.465039 , 
-70 , 525.465039 , 520.398470 , 515.331900 , 510.265330 , 505.198761 , 500.132191 , 495.065621 , 489.999052 , 484.932482 , 479.865912 , 474.799343 , 469.732773 , 464.666203 , 459.599634 , 454.533064 , 449.466495 , 444.399925 , 439.333355 , 434.266786 , 429.200216 , 424.133646 , 419.067077 , 414.000507 , 408.933937 , 403.867368 , 398.800798 , 393.734228 , 388.667659 , 383.601089 , 378.534519 , 373.467950 , 368.401380 , 363.334811 , 358.268241 , 353.201671 , 348.135102 , 343.068532 , 338.001962 , 332.935393 , 327.868823 , 322.802253 , 317.735684 , 312.669114 , 307.602544 , 302.535975 , 297.469405 , 292.402835 , 287.336266 , 282.269696 , 277.203127 , 272.136557 , 267.069987 , 262.003418 , 256.936848 , 251.870278 , 246.803709 , 241.737139 , 236.670569 , 231.604000 , 226.537430 , 221.470860 , 216.404291 , 211.337721 , 206.271151 , 201.204582 , 196.138012 , 191.071443 , 186.004873 , 180.938303 , 175.871734 , 170.805164 , 165.738594 , 160.672025 , 155.605455 , 150.538885 , 145.472316 , 140.405746 , 135.339176 , 130.272607 , 125.206037 , 120.139467 , 115.072898 , 110.006328 , 104.939759 , 99.873189 , 94.806619 , 89.740050 , 84.673480 , 79.606910 , 74.540341 , 69.473771 , 64.407201 , 59.340632 , 54.274062 , 49.207492 , 44.140923 , 39.074353 , 34.007783 , 28.941214 , 23.874644 , 18.808075 , 13.741505 , 8.674935 , 3.608366 , -1.458204 , -6.524774 , -11.591343 , -16.657913 , -21.724483 , -26.791052 , -31.857622 , -36.924192 , -41.990761 , -47.057331 , -52.123901 , -57.190470 , -62.257040 , -67.323610 , -72.390179 , -77.456749 , -82.523318 , -87.589888 , -92.656458 , -97.723027 , -102.789597 , -107.856167 , -112.922736 , -117.989306 , -123.055876 , -128.122445 , -133.189015 , -138.255585 , -143.322154 , -148.388724 , -153.455294 , -158.521863 , -163.588433 , -168.655002 , -173.721572 , -178.788142 , -183.854711 , -188.921281 , -193.987851 , -199.054420 , -204.120990 , -209.187560 , -214.254129 , -219.320699 , -224.387269 , -229.453838 , -234.520408 , 524.835625 , 
-69 , 524.835625 , 519.769056 , 514.702486 , 509.635916 , 504.569347 , 499.502777 , 494.436207 , 489.369638 , 484.303068 , 479.236498 , 474.169929 , 469.103359 , 464.036789 , 458.970220 , 453.903650 , 448.837080 , 443.770511 , 438.703941 , 433.637372 , 428.570802 , 423.504232 , 418.437663 , 413.371093 , 408.304523 , 403.237954 , 398.171384 , 393.104814 , 388.038245 , 382.971675 , 377.905105 , 372.838536 , 367.771966 , 362.705396 , 357.638827 , 352.572257 , 347.505688 , 342.439118 , 337.372548 , 332.305979 , 327.239409 , 322.172839 , 317.106270 , 312.039700 , 306.973130 , 301.906561 , 296.839991 , 291.773421 , 286.706852 , 281.640282 , 276.573712 , 271.507143 , 266.440573 , 261.374004 , 256.307434 , 251.240864 , 246.174295 , 241.107725 , 236.041155 , 230.974586 , 225.908016 , 220.841446 , 215.774877 , 210.708307 , 205.641737 , 200.575168 , 195.508598 , 190.442028 , 185.375459 , 180.308889 , 175.242320 , 170.175750 , 165.109180 , 160.042611 , 154.976041 , 149.909471 , 144.842902 , 139.776332 , 134.709762 , 129.643193 , 124.576623 , 119.510053 , 114.443484 , 109.376914 , 104.310344 , 99.243775 , 94.177205 , 89.110635 , 84.044066 , 78.977496 , 73.910927 , 68.844357 , 63.777787 , 58.711218 , 53.644648 , 48.578078 , 43.511509 , 38.444939 , 33.378369 , 28.311800 , 23.245230 , 18.178660 , 13.112091 , 8.045521 , 2.978951 , -2.087618 , -7.154188 , -12.220757 , -17.287327 , -22.353897 , -27.420466 , -32.487036 , -37.553606 , -42.620175 , -47.686745 , -52.753315 , -57.819884 , -62.886454 , -67.953024 , -73.019593 , -78.086163 , -83.152733 , -88.219302 , -93.285872 , -98.352441 , -103.419011 , -108.485581 , -113.552150 , -118.618720 , -123.685290 , -128.751859 , -133.818429 , -138.884999 , -143.951568 , -149.018138 , -154.084708 , -159.151277 , -164.217847 , -169.284417 , -174.350986 , -179.417556 , -184.484125 , -189.550695 , -194.617265 , -199.683834 , -204.750404 , -209.816974 , -214.883543 , -219.950113 , -225.016683 , -230.083252 , -235.149822 , 524.206211 , 
-68 , 524.206211 , 519.139641 , 514.073072 , 509.006502 , 503.939933 , 498.873363 , 493.806793 , 488.740224 , 483.673654 , 478.607084 , 473.540515 , 468.473945 , 463.407375 , 458.340806 , 453.274236 , 448.207666 , 443.141097 , 438.074527 , 433.007957 , 427.941388 , 422.874818 , 417.808249 , 412.741679 , 407.675109 , 402.608540 , 397.541970 , 392.475400 , 387.408831 , 382.342261 , 377.275691 , 372.209122 , 367.142552 , 362.075982 , 357.009413 , 351.942843 , 346.876273 , 341.809704 , 336.743134 , 331.676564 , 326.609995 , 321.543425 , 316.476856 , 311.410286 , 306.343716 , 301.277147 , 296.210577 , 291.144007 , 286.077438 , 281.010868 , 275.944298 , 270.877729 , 265.811159 , 260.744589 , 255.678020 , 250.611450 , 245.544880 , 240.478311 , 235.411741 , 230.345172 , 225.278602 , 220.212032 , 215.145463 , 210.078893 , 205.012323 , 199.945754 , 194.879184 , 189.812614 , 184.746045 , 179.679475 , 174.612905 , 169.546336 , 164.479766 , 159.413196 , 154.346627 , 149.280057 , 144.213488 , 139.146918 , 134.080348 , 129.013779 , 123.947209 , 118.880639 , 113.814070 , 108.747500 , 103.680930 , 98.614361 , 93.547791 , 88.481221 , 83.414652 , 78.348082 , 73.281512 , 68.214943 , 63.148373 , 58.081804 , 53.015234 , 47.948664 , 42.882095 , 37.815525 , 32.748955 , 27.682386 , 22.615816 , 17.549246 , 12.482677 , 7.416107 , 2.349537 , -2.717032 , -7.783602 , -12.850172 , -17.916741 , -22.983311 , -28.049880 , -33.116450 , -38.183020 , -43.249589 , -48.316159 , -53.382729 , -58.449298 , -63.515868 , -68.582438 , -73.649007 , -78.715577 , -83.782147 , -88.848716 , -93.915286 , -98.981856 , -104.048425 , -109.114995 , -114.181564 , -119.248134 , -124.314704 , -129.381273 , -134.447843 , -139.514413 , -144.580982 , -149.647552 , -154.714122 , -159.780691 , -164.847261 , -169.913831 , -174.980400 , -180.046970 , -185.113540 , -190.180109 , -195.246679 , -200.313248 , -205.379818 , -210.446388 , -215.512957 , -220.579527 , -225.646097 , -230.712666 , -235.779236 , 523.576797 , 
-67 , 523.576797 , 518.510227 , 513.443658 , 508.377088 , 503.310518 , 498.243949 , 493.177379 , 488.110809 , 483.044240 , 477.977670 , 472.911101 , 467.844531 , 462.777961 , 457.711392 , 452.644822 , 447.578252 , 442.511683 , 437.445113 , 432.378543 , 427.311974 , 422.245404 , 417.178834 , 412.112265 , 407.045695 , 401.979125 , 396.912556 , 391.845986 , 386.779417 , 381.712847 , 376.646277 , 371.579708 , 366.513138 , 361.446568 , 356.379999 , 351.313429 , 346.246859 , 341.180290 , 336.113720 , 331.047150 , 325.980581 , 320.914011 , 315.847441 , 310.780872 , 305.714302 , 300.647733 , 295.581163 , 290.514593 , 285.448024 , 280.381454 , 275.314884 , 270.248315 , 265.181745 , 260.115175 , 255.048606 , 249.982036 , 244.915466 , 239.848897 , 234.782327 , 229.715757 , 224.649188 , 219.582618 , 214.516049 , 209.449479 , 204.382909 , 199.316340 , 194.249770 , 189.183200 , 184.116631 , 179.050061 , 173.983491 , 168.916922 , 163.850352 , 158.783782 , 153.717213 , 148.650643 , 143.584073 , 138.517504 , 133.450934 , 128.384365 , 123.317795 , 118.251225 , 113.184656 , 108.118086 , 103.051516 , 97.984947 , 92.918377 , 87.851807 , 82.785238 , 77.718668 , 72.652098 , 67.585529 , 62.518959 , 57.452389 , 52.385820 , 47.319250 , 42.252681 , 37.186111 , 32.119541 , 27.052972 , 21.986402 , 16.919832 , 11.853263 , 6.786693 , 1.720123 , -3.346446 , -8.413016 , -13.479586 , -18.546155 , -23.612725 , -28.679295 , -33.745864 , -38.812434 , -43.879003 , -48.945573 , -54.012143 , -59.078712 , -64.145282 , -69.211852 , -74.278421 , -79.344991 , -84.411561 , -89.478130 , -94.544700 , -99.611270 , -104.677839 , -109.744409 , -114.810979 , -119.877548 , -124.944118 , -130.010687 , -135.077257 , -140.143827 , -145.210396 , -150.276966 , -155.343536 , -160.410105 , -165.476675 , -170.543245 , -175.609814 , -180.676384 , -185.742954 , -190.809523 , -195.876093 , -200.942663 , -206.009232 , -211.075802 , -216.142371 , -221.208941 , -226.275511 , -231.342080 , -236.408650 , 522.947383 , 
-66 , 522.947383 , 517.880813 , 512.814244 , 507.747674 , 502.681104 , 497.614535 , 492.547965 , 487.481395 , 482.414826 , 477.348256 , 472.281686 , 467.215117 , 462.148547 , 457.081978 , 452.015408 , 446.948838 , 441.882269 , 436.815699 , 431.749129 , 426.682560 , 421.615990 , 416.549420 , 411.482851 , 406.416281 , 401.349711 , 396.283142 , 391.216572 , 386.150002 , 381.083433 , 376.016863 , 370.950294 , 365.883724 , 360.817154 , 355.750585 , 350.684015 , 345.617445 , 340.550876 , 335.484306 , 330.417736 , 325.351167 , 320.284597 , 315.218027 , 310.151458 , 305.084888 , 300.018318 , 294.951749 , 289.885179 , 284.818610 , 279.752040 , 274.685470 , 269.618901 , 264.552331 , 259.485761 , 254.419192 , 249.352622 , 244.286052 , 239.219483 , 234.152913 , 229.086343 , 224.019774 , 218.953204 , 213.886634 , 208.820065 , 203.753495 , 198.686926 , 193.620356 , 188.553786 , 183.487217 , 178.420647 , 173.354077 , 168.287508 , 163.220938 , 158.154368 , 153.087799 , 148.021229 , 142.954659 , 137.888090 , 132.821520 , 127.754950 , 122.688381 , 117.621811 , 112.555242 , 107.488672 , 102.422102 , 97.355533 , 92.288963 , 87.222393 , 82.155824 , 77.089254 , 72.022684 , 66.956115 , 61.889545 , 56.822975 , 51.756406 , 46.689836 , 41.623266 , 36.556697 , 31.490127 , 26.423558 , 21.356988 , 16.290418 , 11.223849 , 6.157279 , 1.090709 , -3.975860 , -9.042430 , -14.109000 , -19.175569 , -24.242139 , -29.308709 , -34.375278 , -39.441848 , -44.508418 , -49.574987 , -54.641557 , -59.708126 , -64.774696 , -69.841266 , -74.907835 , -79.974405 , -85.040975 , -90.107544 , -95.174114 , -100.240684 , -105.307253 , -110.373823 , -115.440393 , -120.506962 , -125.573532 , -130.640102 , -135.706671 , -140.773241 , -145.839810 , -150.906380 , -155.972950 , -161.039519 , -166.106089 , -171.172659 , -176.239228 , -181.305798 , -186.372368 , -191.438937 , -196.505507 , -201.572077 , -206.638646 , -211.705216 , -216.771786 , -221.838355 , -226.904925 , -231.971495 , -237.038064 , 522.317969 , 
